uf,municipio,site_base,url_concursos,confianza_concursos,url_processos_seletivos,confianza_processos,urls_extras_concursos,urls_extras_processos,tier_concursos,tier_processos,method,razao,notes,checked_at
RS,Alto Feliz,https://www.altofeliz.rs.gov.br/web,https://www.altofeliz.rs.gov.br/web/concursos,confirmado,https://www.altofeliz.rs.gov.br/web/processo-seletivo,confirmado,https://www.altofeliz.rs.gov.br/web/regulamento-012026-inscricoes-candidatas-soberanas-20262028 | https://www.altofeliz.rs.gov.br/web/noticias/2746/soberanas-da-10-alto-fest-estao-com-inscricoes-abertas-em-alto-feliz | https://www.altofeliz.rs.gov.br/web/noticias/1494/regulamento-012026-inscricoes-candidatas-soberanas-20262028 | https://www.altofeliz.rs.gov.br/web/noticias/1494/concursos | https://www.altofeliz.rs.gov.br/web/noticias/2746/regulamento-012026-inscricoes-candidatas-soberanas-20262028,https://www.altofeliz.rs.gov.br/web/noticias/1494/processo-seletivo | https://www.altofeliz.rs.gov.br/web/noticias/2746/processo-seletivo,t1,t1,t0+t1+t3,"[t1] URLs são páginas de listagem dedicadas para concursos e processos seletivos, conforme solicitado.",10 candidates (10 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Alvorada,https://www.alvorada.rs.gov.br,https://www.alvorada.rs.gov.br/concursos,confirmado,,,,,t2,t2_combined,t0+t1+t2,[t2] A URL é uma página de listagem dedicada a concursos; nenhuma página específica para PSS foi fornecida. | [combined] Page also contains processos content,"2 candidates (1 fetchable); verify_c: URL e título indicam página de listagem de concursos no domínio oficial. | [SIN_INDICE_OFICIAL_CHROME:processos]: /concursos es solo concursos; /documentos repo generico mixto; PSS dispersos en news/downloads, sin indice PSS propio",2026-06-26T22:33:06.464294+00:00
RS,Amaral Ferrador,https://www.amaralferrador.rs.gov.br,https://www.amaralferrador.rs.gov.br/publicacoes/4/concursos-publicos,confirmado,https://www.amaralferrador.rs.gov.br/publicacoes/9/processo-seletivo,confirmado,https://www.amaralferrador.rs.gov.br/transparencia/50/concurso-publico-01-2024 | https://www.amaralferrador.rs.gov.br/noticias/64/nota-continuidade-do-concurso-publico-01-2024.html,https://www.amaralferrador.rs.gov.br/transparencia/44/processo-seletivo-001-2024 | https://www.amaralferrador.rs.gov.br/transparencia/45/processo-seletivo-002-2024 | https://www.amaralferrador.rs.gov.br/transparencia/46/processo-seletivo-003-2024 | https://www.amaralferrador.rs.gov.br/transparencia/47/processo-seletivo-004-2024 | https://www.amaralferrador.rs.gov.br/transparencia/48/processo-seletivo-005-2024,t1,t1,t0+t1+t3,"[t1] URLs são páginas índice dedicadas para cada tipo, listando múltiplos editais de forma canônica.",16 candidates (16 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Ametista Do Sul,https://www.ametistadosul.rs.gov.br,https://www.ametistadosul.rs.gov.br/registros/concursos,confirmado,https://www.ametistadosul.rs.gov.br/registros/processosseletivos,confirmado,https://ametistadosul.rs.gov.br/registros/concursos/47/concurso-publico-n-01-2023,https://ametistadosul.rs.gov.br/registros/concursos/47/concurso-publico-n-01-2023,t1,t1,t0+t1+t3,"[t1] Página combinada para concursos e específica para PSS, conforme regras de separação e abrangência.","3 candidates (3 fetchable) | FP_ai[concursos]: ai_tipo_equivocado(rendered): A página lista apenas Processos Seletivos, não Concursos Públicos. | rev_humana: indice combinado; CONCURSO PUBLICO 01/2023 listado en pag posterior",2026-06-26T22:33:06.464294+00:00
RS,André Da Rocha,https://www.andredarocha.rs.gov.br,https://www.andredarocha.rs.gov.br/pg.php?area=PUBLICACOES&subarea=19&ano=0,confirmado,https://www.andredarocha.rs.gov.br/pg.php?area=PUBLICACOES&subarea=49&ano=0,confirmado,https://www.andredarocha.rs.gov.br/pg.php?area=PUBLICACOES&subarea=19&ano=2026 | https://www.andredarocha.rs.gov.br/pg.php?area=PUBLICACOES&subarea=111&ano=2026 | https://www.andredarocha.rs.gov.br/pg.php?area=PUBLICACOES&subarea=111&ano=0,https://www.andredarocha.rs.gov.br/pg.php?area=PUBLICACOES&subarea=49&ano=2026,t1,t1,t0+t1+t3,[t1] Escolhi as listagens mais amplas (todos os anos) e específicas para concursos e processos seletivos.,6 candidates (6 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Anta Gorda,https://www.antagorda.rs.gov.br,https://www.antagorda.rs.gov.br/concurso/categoria/25/concurso/,confirmado,https://www.antagorda.rs.gov.br/concurso/categoria/24/processo-seletivo/,confirmado,https://www.antagorda.rs.gov.br/concurso/detalhe/452/pedital-de-processo-seletivo-simplificado-para-contratacao-de-operario-por-prazo-determinadonbspp | https://www.antagorda.rs.gov.br/concurso/detalhe/453/pedital-de-processo-seletivo-simplificado-para-contratacao-de-borracheiro-por-prazo-determinadop | https://www.antagorda.rs.gov.br/concurso/detalhe/454/poperador-de-maquinap | https://www.antagorda.rs.gov.br/concurso/detalhe/455/pcarpinteirop | https://www.antagorda.rs.gov.br/concurso/detalhe/456/ppedreirop,https://www.antagorda.rs.gov.br/concurso/detalhe/452/pedital-de-processo-seletivo-simplificado-para-contratacao-de-operario-por-prazo-determinadonbspp | https://www.antagorda.rs.gov.br/concurso/detalhe/453/pedital-de-processo-seletivo-simplificado-para-contratacao-de-borracheiro-por-prazo-determinadop | https://www.antagorda.rs.gov.br/concurso/categoria/27/processo-seletivo-publico/,t1,t1,t0+t1+t3,"[t1] URLs são páginas de categoria específicas para cada tipo, sendo a de PSS a mais completa.",11 candidates (11 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Antônio Prado,https://www.antonioprado.rs.gov.br,https://www.antonioprado.rs.gov.br/portal.php?pagina=portal_concurso_publico,confirmado,https://www.antonioprado.rs.gov.br/portal.php?pagina=portal_concurso_publico,confirmado,,,t1,t1,t0+t1+t3,"[t1] A URL é uma página de listagem combinada para concursos e processos seletivos, conforme título e menu.",1 candidates (1 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Arambaré,https://www.arambare.rs.gov.br,https://www.arambare.rs.gov.br/contratacao?ContratacaoSearch%5Bid_contratacao_categoria%5D=3&ContratacaoSearch%5Bano%5D=&ContratacaoSearch%5Bq%5D=,confirmado,https://www.arambare.rs.gov.br/contratacao/index?ContratacaoSearch%5Bid_contratacao_categoria%5D=2&ContratacaoSearch%5Bano%5D=&ContratacaoSearch%5Bq%5D=&ContratacaoSearch%5Bid_contratacao_categoria%5D=4&ContratacaoSearch%5Bano%5D=&ContratacaoSearch%5Bq%5D=,confirmado,https://www.arambare.rs.gov.br/noticia/view/773/concurso-de-escolha-do-peao-e-prenda-de-arambare-2026-tem-edital-e-material-de-estudo-disponiveis | https://www.arambare.rs.gov.br/contratacao/view/215/mateus-fagundes-da-silva | https://www.arambare.rs.gov.br/contratacao/view/214/schaine-tejada-das-neves | https://www.arambare.rs.gov.br/contratacao/view/213/caroline-seus-varzim | https://www.arambare.rs.gov.br/contratacao/view/212/natalia-evangelista-de-campos,https://www.arambare.rs.gov.br/contratacao/index?ContratacaoSearch%5Bid_contratacao_categoria%5D=2&ContratacaoSearch%5Bano%5D=&ContratacaoSearch%5Bq%5D=,t1,t1,t0+t1+t3,"[t1] URLs são páginas de listagem filtradas por categoria, sendo a de PSS mais abrangente.",16 candidates (16 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Araricá,https://www.ararica.rs.gov.br,http://177.136.215.226:7080/multi24/sistemas/transparencia/index?secao=dinamico&amp;id=6068,confirmado,http://177.136.215.226:7080/multi24/sistemas/transparencia/index?secao=dinamico&amp;id=4112,confirmado,http://177.136.215.226:7080/multi24/sistemas/transparencia/index?entidade=1&secao=dinamico&id=6069 | http://177.136.215.226:7080/multi24/sistemas/transparencia/index?entidade=1&secao=dinamico&id=6070 | http://177.136.215.226:7080/multi24/sistemas/transparencia/index?secao=dinamico&id=6068,http://177.136.215.226:7080/multi24/sistemas/transparencia/index?entidade=1&secao=dinamico&id=6763 | http://177.136.215.226:7080/multi24/sistemas/transparencia/index?entidade=1&secao=dinamico&id=6753 | http://177.136.215.226:7080/multi24/sistemas/transparencia/index?entidade=1&secao=dinamico&id=6722 | http://177.136.215.226:7080/multi24/sistemas/transparencia/index?entidade=1&secao=dinamico&id=6652 | http://177.136.215.226:7080/multi24/sistemas/transparencia/index?entidade=1&secao=dinamico&id=6639,t1,t1,t0+t1+t3,"[t1] As URLs selecionadas são páginas índice dedicadas, separadas para concursos e PSS, e não editais individuais.",26 candidates (26 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Aratiba,https://pmaratiba.rs.gov.br,https://www.pmaratiba.rs.gov.br/concurso/categoria/25/concurso/,confirmado,https://www.pmaratiba.rs.gov.br/concurso/categoria/24/processo-seletivo/,confirmado,https://www.pmaratiba.rs.gov.br/concurso/detalhe/103/pcontratacao-por-tempo-determinado-de-excepcional-interesse-publico-de-auxiliar-socialp | https://www.pmaratiba.rs.gov.br/concurso/detalhe/101/pcontratacao-por-tempo-determinado-de-excepcional-interesse-publico-de-professoresp | https://www.pmaratiba.rs.gov.br/concurso/detalhe/100/pcontratacao-por-tempo-determinado-de-excepcional-interesse-publico-de-enfermeirop | https://www.pmaratiba.rs.gov.br/concurso/detalhe/99/pcontratacao-por-tempo-determinado-de-excepcional-interesse-publico-de-auxiliar-de-servicos-gerais-e-merendeirap | https://www.pmaratiba.rs.gov.br/concurso/detalhe/98/pcontratacao-por-tempo-determinado-de-excepcional-interesse-publico-de-auxiliar-socialp,https://www.pmaratiba.rs.gov.br/concurso/detalhe/103/pcontratacao-por-tempo-determinado-de-excepcional-interesse-publico-de-auxiliar-socialp | https://www.pmaratiba.rs.gov.br/concurso/detalhe/101/pcontratacao-por-tempo-determinado-de-excepcional-interesse-publico-de-professoresp | https://www.pmaratiba.rs.gov.br/concurso/detalhe/100/pcontratacao-por-tempo-determinado-de-excepcional-interesse-publico-de-enfermeirop | https://www.pmaratiba.rs.gov.br/concurso/detalhe/99/pcontratacao-por-tempo-determinado-de-excepcional-interesse-publico-de-auxiliar-de-servicos-gerais-e-merendeirap | https://www.pmaratiba.rs.gov.br/concurso/detalhe/98/pcontratacao-por-tempo-determinado-de-excepcional-interesse-publico-de-auxiliar-socialp,t1,t1,t0+t1+t3,"[t1] URLs [8] e [9] são páginas de índice de categoria específicas para PSS e Concursos, preferíveis à página genérica [7].",10 candidates (10 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Arroio Do Meio,https://arroiodomeio.rs.gov.br,https://arroiodomeio.rs.gov.br/concurso/id/200/?concursos.html,confirmado,https://arroiodomeio.rs.gov.br/concurso/id/202/?processos-seletivos-simplificados.html,confirmado,https://arroiodomeio.rs.gov.br/concurso/visualizar/id/1535/?operario-especializado.html | https://arroiodomeio.rs.gov.br/concurso/visualizar/id/1534/?monitor-escolar.html | https://arroiodomeio.rs.gov.br/concurso/id/202/p/1/?editais-de-concursos---processos-seletivos-simplificados.html | https://arroiodomeio.rs.gov.br/concurso/id/202/p/2/?editais-de-concursos---processos-seletivos-simplificados.html | https://arroiodomeio.rs.gov.br/concurso/id/202/p/3/?editais-de-concursos---processos-seletivos-simplificados.html,https://arroiodomeio.rs.gov.br/concurso/id/202/p/1/?editais-de-concursos---processos-seletivos-simplificados.html | https://arroiodomeio.rs.gov.br/concurso/id/202/p/2/?editais-de-concursos---processos-seletivos-simplificados.html | https://arroiodomeio.rs.gov.br/concurso/id/202/p/3/?editais-de-concursos---processos-seletivos-simplificados.html | https://arroiodomeio.rs.gov.br/concurso/id/202/p/4/?editais-de-concursos---processos-seletivos-simplificados.html | https://arroiodomeio.rs.gov.br/concurso/id/202/p/5/?editais-de-concursos---processos-seletivos-simplificados.html,t1,t1,t0+t1+t3,"[t1] URLs são páginas índice dedicadas e separadas para concursos e processos seletivos, não editais individuais.",11 candidates (9 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Arroio Do Padre,https://www.arroiodopadre.rs.gov.br,https://www.arroiodopadre.rs.gov.br/portal/editais,confirmado,https://www.arroiodopadre.rs.gov.br/portal/editais,confirmado,https://www.arroiodopadre.rs.gov.br/portal/0/galeria-de-videos/7/aluno-da-escola-municipal-benjamin-constant-de-arroio-do-padre-e-vencedor-estadual-em-concurso-de-ap,,t1,t1,t0+t1+t3,"[t1] A única página de índice relevante lista 'Editais Concursos e licitações', servindo como listagem geral para ambos.",2 candidates (2 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Arroio Do Sal,https://arroiodosal.rs.gov.br,https://arroiodosal.rs.gov.br/category/publicacoes-oficiais/concursos/,confirmado,https://arroiodosal.rs.gov.br/pss-processo-seletivo/,confirmado,https://www.fundatec.org.br/portal/concursos/index_concursos.php?concurso=889 | https://arroiodosal.rs.gov.br/2017/09/12/concurso-publico-n-0012016/ | https://www.fundatec.org.br/portal/concursos/pagina_editais.php?concurso=889 | https://www.fundatec.org.br/portal/concursos/dicasimportantes.php | https://www.fundatec.org.br/portal/concursos/pagina_recursos.php?concurso=889,,t1,t1,t0+t1+t3,"[t1] Ambas são páginas de categoria/listagem dedicadas, na prefeitura, para concursos e processos seletivos.",10 candidates (10 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Arroio Do Tigre,https://www.arroiodotigre.rs.gov.br,http://www.arroiodotigre.rs.gov.br/site/concurso-publico-2025,confirmado,https://www.arroiodotigre.rs.gov.br/site/processos-seletivos,confirmado,https://www.arroiodotigre.rs.gov.br/concurso-publico-2025,https://www.arroiodotigre.rs.gov.br/processos-seletivos,t2,t2,t0+t1+t2,"[t2] Candidato [0] é a única página de concursos válida, embora filtrada por ano. Candidato [1] é a página geral de processos seletivos.",5 candidates (4 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Arroio Dos Ratos,,https://www.arroiodosratos.rs.gov.br/category/concurso-publico/,confirmado,https://www.arroiodosratos.rs.gov.br/category/processo-seletivo/,confirmado,,,,,tier0_failed,,"site_not_found | rev_humana: hallado via Google + VERIFICADO navegador (12 concursos + 8 PSS) | rev_humana(Chrome): indice valido verificado, ascendido de probable->confirmado",2026-06-27T07:15:37.164146+00:00
RS,Arroio Grande,https://www.arroiogrande.rs.gov.br,https://www.arroiogrande.rs.gov.br/concursos,confirmado,https://www.arroiogrande.rs.gov.br/concursos,confirmado,https://www.arroiogrande.rs.gov.br/concursos/cieee-processo-seletivo/15 | https://www.arroiogrande.rs.gov.br/concursos/cieee-processo-seletivo-01-2020/39 | https://www.arroiogrande.rs.gov.br/concursos/concurso-p-blico-01-2020/40 | https://www.arroiogrande.rs.gov.br/concursos/concurso-p-blico-01-2021/47 | https://www.arroiogrande.rs.gov.br/concursos/concurso-p-blico-01-2023/55,https://www.arroiogrande.rs.gov.br/concursos/cieee-processo-seletivo/15 | https://www.arroiogrande.rs.gov.br/concursos/cieee-processo-seletivo-01-2020/39 | https://www.arroiogrande.rs.gov.br/concursos/notabili-processo-seletivo-01-2021/42 | https://www.arroiogrande.rs.gov.br/concursos/notabili-processo-seletivo-01-2022/50 | https://www.arroiogrande.rs.gov.br/concursos/notabili-processo-seletivo-01-2023/54,t1,t1,t0+t1+t3,"[t1] A URL [0] é o índice mais amplo e canônico, listando concursos e processos seletivos combinados.",33 candidates (33 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Arvorezinha,https://www.arvorezinha.rs.gov.br,https://www.arvorezinhars.com.br/concurso,confirmado,https://www.arvorezinhars.com.br/concurso,confirmado,https://www.arvorezinhars.com.br/concurso/detalhe/82/pa-hrefpublicadminglobalarquploadsfilesedital20nc2ba0282c20de201020de20junho20de202026pdfedital-n028-de-10-de-junho-de-2026appedital-n028-de-10-de-junho-de-2026p | https://www.arvorezinhars.com.br/concurso/detalhe/81/pa-hrefpublicadminglobalarquploadsfilesproc20seletivo20012011pdfedital-n-0012026-do-processo-seletivoabrprocesso-seletivo-simplificado-n-0012026ppnbspp | https://www.arvorezinhars.com.br/concurso/detalhe/80/pedital-n-003-de-12-de-janeiro-de-2026p | https://www.arvorezinhars.com.br/concurso/detalhe/79/pconcurso-vereador-e-prefeito-mirim-2025-edital-de-resultado-de-processo-seletivo-n22025ppa-hrefpublicadminglobalarquploadsfileslista20dde20resultado20preliminar20concurso20vereador20e20prefeito20miripdfpublicadminglobalarquploadsfileslista20dde20resultado2 | https://www.arvorezinhars.com.br/concurso/detalhe/78/pprocesso-seletivo-simplificado-para-selecao-de-formador-local-do-programa-pro-leeicnca-20252026ppa-hrefpublicadminglobalarquploadsfilesedital20formador20leei201pdfpublicadminglobalarquploadsfilesedital20formador20leei201pdfap,https://www.arvorezinhars.com.br/concurso/detalhe/81/pa-hrefpublicadminglobalarquploadsfilesproc20seletivo20012011pdfedital-n-0012026-do-processo-seletivoabrprocesso-seletivo-simplificado-n-0012026ppnbspp | https://www.arvorezinhars.com.br/concurso/detalhe/79/pconcurso-vereador-e-prefeito-mirim-2025-edital-de-resultado-de-processo-seletivo-n22025ppa-hrefpublicadminglobalarquploadsfileslista20dde20resultado20preliminar20concurso20vereador20e20prefeito20miripdfpublicadminglobalarquploadsfileslista20dde20resultado2 | https://www.arvorezinhars.com.br/concurso/detalhe/78/pprocesso-seletivo-simplificado-para-selecao-de-formador-local-do-programa-pro-leeicnca-20252026ppa-hrefpublicadminglobalarquploadsfilesedital20formador20leei201pdfpublicadminglobalarquploadsfilesedital20formador20leei201pdfap | https://www.arvorezinhars.com.br/concurso/detalhe/77/pedital-n-0032025-do-processo-seletivo-simplificado-n-0032025p,t1,t1,t0+t1+t3,[t1] A URL /concurso é a única página de listagem geral; as outras são editais individuais ou concursos culturais.,7 candidates (7 fetchable),2026-06-26T22:33:06.464294+00:00
