uf,municipio,ibge,site_base,url_concursos,url_processos_seletivos,url_editais,url_convocacoes,url_diario_publicacoes,status_concursos,status_processos_seletivos,status_convocacoes,status_diario_publicacoes,confidence,method,gemini_used,notes,checked_at
RS,Amaral Ferrador,4300638,https://amaralferrador.rs.gov.br/,https://amaralferrador.rs.gov.br/publicacoes/4/concursos-publicos,https://amaralferrador.rs.gov.br/publicacoes/9/processo-seletivo,https://amaralferrador.rs.gov.br/transparencia/34/editais,,https://amaralferrador.rs.gov.br/publicacoes,boa,boa,nao_encontrada,boa,0.9,heuristic+gemini,1,"A URL de processos seletivos parece ser uma lista geral, não uma notícia individual. A URL de publicações pode servir como diário oficial.",2026-06-24T15:34:33.323683+00:00
RS,Ametista do Sul,4300646,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:34.624549+00:00
RS,André da Rocha,4300661,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:34.783543+00:00
RS,Anta Gorda,4300703,https://www.antagorda.rs.gov.br/,https://www.antagorda.rs.gov.br/concursos-publicos,https://www.antagorda.rs.gov.br/processos-seletivos,https://www.antagorda.rs.gov.br/edital,https://www.antagorda.rs.gov.br/nomeacoes,https://www.antagorda.rs.gov.br/diario-oficial-eletronico,boa,boa,boa,boa,0.55,heuristic,0,,2026-06-24T15:34:34.913109+00:00
RS,Antônio Prado,4300802,https://www.antonioprado.rs.gov.br/,https://www.antonioprado.rs.gov.br/portal.php?pagina=portal_concurso_publico,https://www.antonioprado.rs.gov.br/portal.php?pagina=portal_concurso_publico,https://www.antonioprado.rs.gov.br/portal.php?pagina=licitacoes_editais,https://www.antonioprado.rs.gov.br/portal.php?pagina=portal_concurso_publico,,boa,boa,revisar,nao_encontrada,0.8,heuristic+gemini,1,"A página de concursos e processos seletivos parece ser a mesma. A página de editais gerais é a de licitações e editais. Não foi encontrada uma página específica para convocações, mas a página de concursos pode conter essas informações. Diário oficial não encontrado.",2026-06-24T15:34:36.242002+00:00
RS,Arambaré,4300851,https://arambare.rs.gov.br/,https://arambare.rs.gov.br/noticia/view/773/concurso-de-escolha-do-peao-e-prenda-de-arambare-2026-tem-edital-e-material-de-estudo-disponiveis,,https://arambare.rs.gov.br/documento/index?DocumentoSearch%5Bid_secretaria%5D=&DocumentoSearch%5Bid_documento_categoria%5D=4&DocumentoSearch%5Bq%5D=,,,revisar,nao_encontrada,nao_encontrada,nao_encontrada,0.4,heuristic+gemini,1,"A URL de concursos aponta para uma notícia individual, não para uma seção geral. Não foram encontradas seções claras para processos seletivos, convocações ou diário oficial. A URL de editais é genérica para 'Documentos Gerais' com categoria 4.",2026-06-24T15:34:36.709221+00:00
RS,Araricá,4300877,https://www.ararica.rs.gov.br/,https://www.ararica.rs.gov.br/concurso,,,,https://www.ararica.rs.gov.br/pagina/view/24/publicacoes-oficiais,boa,nao_encontrada,nao_encontrada,boa,0.9,heuristic+gemini,1,"Concursos e publicações oficiais encontrados. Processos seletivos, editais e convocações não foram encontrados nas URLs fornecidas.",2026-06-24T15:34:36.857164+00:00
RS,Aratiba,4300901,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:38.832949+00:00
RS,Arroio do Meio,4301008,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:38.962975+00:00
RS,Arroio do Padre,4301073,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:39.164651+00:00
RS,Arroio do Sal,4301057,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:39.345304+00:00
RS,Arroio do Tigre,4301206,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:39.582833+00:00
RS,Arroio dos Ratos,4301107,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:39.698383+00:00
RS,Arroio Grande,4301305,https://arroiogrande.rs.gov.br/,https://arroiogrande.rs.gov.br/concursos,https://arroiogrande.rs.gov.br/concursos,https://arroiogrande.rs.gov.br/concursos,https://arroiogrande.rs.gov.br/concursos,,boa,boa,revisar,nao_encontrada,0.8,heuristic+gemini,1,"A página de concursos parece agregar também processos seletivos e convocações, mas não há uma seção explícita para convocações ou diário oficial.",2026-06-24T15:34:39.881240+00:00
RS,Arvorezinha,4301404,https://arvorezinha.rs.gov.br/,https://arvorezinha.rs.gov.br/concursos-publicos,https://arvorezinha.rs.gov.br/processos-seletivos,https://arvorezinha.rs.gov.br/edital,https://arvorezinha.rs.gov.br/nomeacoes,https://arvorezinha.rs.gov.br/diario-oficial,boa,boa,boa,boa,0.55,heuristic,0,,2026-06-24T15:34:41.810494+00:00
RS,Augusto Pestana,4301503,https://www.augustopestana.rs.gov.br/,https://www.augustopestana.rs.gov.br/concurso/visualizar/id/2497?processo-seletivo-emergencial-no-082026.html,https://www.augustopestana.rs.gov.br/pagina/id/1039?processo-seletivo-publico.html,https://www.augustopestana.rs.gov.br/pagina/id/1063?edital-de-convocacao---audiencia-publica.html,https://www.augustopestana.rs.gov.br/pagina/id/1063?edital-de-convocacao---audiencia-publica.html,https://www.augustopestana.rs.gov.br/diario-oficial/bcid/53?diario-oficial.html,boa,boa,boa,boa,0.55,heuristic,0,,2026-06-24T15:34:43.361416+00:00
RS,Áurea,4301552,https://aurea.rs.gov.br/,https://aurea.rs.gov.br/download-category/concursos,https://aurea.rs.gov.br/download-category/processo-seletivo,https://aurea.rs.gov.br/download-category/editais,,,boa,boa,nao_encontrada,nao_encontrada,0.8,heuristic+gemini,1,"As URLs para concursos, processos seletivos e editais gerais parecem ser categorias de download, o que é um bom indicativo de listagens. Não foram encontradas URLs específicas para convocações/nomeações ou diário/publicações oficiais.",2026-06-24T15:34:43.805587+00:00
RS,Bagé,4301602,https://www.bage.rs.gov.br/,https://www.bage.rs.gov.br/mural/concursos-1,https://www.bage.rs.gov.br/mural/processos-seletivos,https://www.bage.rs.gov.br/mural/editais,https://www.bage.rs.gov.br/mural/nomeacoes,https://www.bage.rs.gov.br/servicos/diario-oficial-eletronico-do-municipio-de-bage,boa,boa,boa,boa,0.55,heuristic,0,,2026-06-24T15:34:44.711014+00:00
RS,Balneário Pinhal,4301636,https://balneariopinhal.rs.gov.br/,https://balneariopinhal.rs.gov.br/concurso/id/202?processo-seletivo.html,https://balneariopinhal.rs.gov.br/concurso/id/202?processo-seletivo.html,https://balneariopinhal.rs.gov.br/licitacao/id/110?chamamento-publico.html,https://balneariopinhal.rs.gov.br/concurso/id/201?convocacao.html,https://balneariopinhal.rs.gov.br/diario-oficial/bcid/53?diario-oficial.html,boa,boa,boa,boa,0.55,heuristic,0,,2026-06-24T15:34:46.588340+00:00
RS,Barão,4301651,https://barao.atende.net/,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,heuristic+gemini,1,Nenhuma URL específica para as categorias solicitadas foi encontrada nos candidatos fornecidos. O único candidato é a página inicial genérica do portal.,2026-06-24T15:34:47.020261+00:00
RS,Barão de Cotegipe,4301701,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:48.173158+00:00
RS,Barão do Triunfo,4301750,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:48.245720+00:00
RS,Barra do Guarita,4301859,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:48.310374+00:00
RS,Barra do Quaraí,4301875,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:48.350706+00:00
RS,Barra do Ribeiro,4301909,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:48.430380+00:00
RS,Barra do Rio Azul,4301925,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:48.458735+00:00
RS,Barra Funda,4301958,https://www.barrafunda.rs.gov.br/,https://www.barrafunda.rs.gov.br/concurso/cat/2,https://www.barrafunda.rs.gov.br/concurso/cat/11,,,,boa,boa,nao_encontrada,nao_encontrada,0.8,heuristic+gemini,1,"Concursos e processos seletivos foram identificados com URLs específicas. Não foi possível encontrar URLs diretas para editais gerais, convocações/nomeações ou diário/publicações oficiais nos candidatos fornecidos.",2026-06-24T15:34:48.546496+00:00
RS,Barracão,4301800,https://barracao.rs.gov.br/,https://barracao.rs.gov.br/pg.php?area=CONCURSOS,,,,https://barracao.rs.gov.br/pg.php?area=PUBLICACOES&subarea=44&ano=2026,boa,nao_encontrada,nao_encontrada,revisar,0.7,heuristic+gemini,1,"A URL de diário/publicações aponta para um ano específico (2026) e subárea, o que pode não ser a página geral de publicações. Processos seletivos, editais e convocações não foram encontrados em URLs diretas.",2026-06-24T15:34:48.559352+00:00
RS,Barros Cassal,4302006,https://www.barroscassal.rs.gov.br/,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,heuristic+gemini,1,"Nenhuma URL para concursos, processos seletivos, editais, convocações ou diário oficial foi encontrada na página inicial fornecida.",2026-06-24T15:34:49.279114+00:00
RS,Benjamin Constant do Sul,4302055,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:50.366668+00:00
RS,Bento Gonçalves,4302105,https://www.bentogoncalves.rs.gov.br/,https://www.bentogoncalves.rs.gov.br/concursos,https://www.bentogoncalves.rs.gov.br/processo-seletivo-da-secretaria-de-educacao-em-fase-final,https://www.bentogoncalves.rs.gov.br/editais-administracao,,https://www.bentogoncalves.rs.gov.br/diario-oficial,boa,revisar,nao_encontrada,boa,0.8,heuristic+gemini,1,"O link de processos seletivos aponta para uma notícia individual, não para uma seção geral. Não foi encontrada uma seção específica para convocações/nomeações.",2026-06-24T15:34:50.455668+00:00
RS,Boa Vista das Missões,4302154,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:52.013299+00:00
RS,Boa Vista do Buricá,4302204,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:52.155362+00:00
RS,Boa Vista do Cadeado,4302220,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:52.354275+00:00
RS,Boa Vista do Incra,4302238,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:52.566820+00:00
RS,Boa Vista do Sul,4302253,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:52.567819+00:00
RS,Bom Jesus,4302303,https://www.bomjesus.rs.gov.br/,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0.25,heuristic,0,,2026-06-24T15:34:52.747089+00:00
RS,Bom Princípio,4302352,https://bomprincipio.rs.gov.br/,,,https://bomprincipio.rs.gov.br/licitacao,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0.3,heuristic+gemini,1,"Não foram encontradas URLs específicas para concursos, processos seletivos, convocações ou diário oficial. A URL de licitações foi usada para editais gerais, mas pode não ser a ideal.",2026-06-24T15:34:52.776971+00:00
RS,Bom Progresso,4302378,https://bomprogresso.rs.gov.br/,https://bomprogresso.rs.gov.br/concurso/id/202?processo-seletivo.html,https://bomprogresso.rs.gov.br/concurso/id/202?processo-seletivo.html,https://bomprogresso.rs.gov.br/licitacao/id/110?chamamento-publico.html,https://bomprogresso.rs.gov.br/concurso/id/201?convocacao.html,https://bomprogresso.rs.gov.br/diario-oficial/bcid/53?diario-oficial.html,boa,boa,boa,boa,0.55,heuristic,0,,2026-06-24T15:34:52.870813+00:00
RS,Bom Retiro do Sul,4302402,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:53.682184+00:00
RS,Boqueirão do Leão,4302451,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:53.766783+00:00
RS,Bossoroca,4302501,https://www.bossoroca.rs.gov.br/site,http://www.bossoroca.rs.gov.br/site/concursos,https://www.bossoroca.rs.gov.br/site/concursos?pagina=1&tipo=&busca=Sele%C3%A7%C3%A3o+P%C3%BAblica,http://www.bossoroca.rs.gov.br/site/editais,,,boa,boa,nao_encontrada,nao_encontrada,0.8,heuristic+gemini,1,"A URL de processos seletivos é uma busca dentro da seção de concursos, mas parece ser a melhor opção disponível. Não foram encontradas seções dedicadas para convocações ou diário oficial.",2026-06-24T15:34:53.887065+00:00
RS,Bozano,4302584,https://bozano.rs.gov.br/,https://bozano.rs.gov.br/concursos-publicos,https://bozano.rs.gov.br/processos-seletivos,https://bozano.rs.gov.br/edital,https://bozano.rs.gov.br/nomeacoes,https://bozano.rs.gov.br/diario-oficial,boa,boa,boa,boa,0.55,heuristic,0,,2026-06-24T15:34:55.415217+00:00
RS,Braga,4302600,https://www.braga.rs.gov.br/site,http://www.braga.rs.gov.br/site/concursos,,https://www.braga.rs.gov.br/site/noticias/educacao/910063-edital-0012026---edital-de-chamamento-puacuteblico-para-vagas-de-estaacutegio-no-municiacutepio-de-bragars,,,boa,nao_encontrada,nao_encontrada,nao_encontrada,0.8,heuristic+gemini,1,Apenas a URL de concursos foi encontrada com clareza. As outras categorias não possuem URLs dedicadas e estáveis nos candidatos fornecidos.,2026-06-24T15:34:56.948917+00:00
RS,Brochier,4302659,https://brochier.rs.gov.br/,,,https://brochier.rs.gov.br/servico/view/8/solicitacao-de-itbi,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,1,heuristic+gemini,1,"Nenhuma URL para concursos, processos seletivos, convocações ou diário oficial foi encontrada nos candidatos fornecidos. As URLs existentes são para licitações e contratações.",2026-06-24T15:34:58.028233+00:00
RS,Butiá,4302709,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:01.139809+00:00
RS,Caçapava do Sul,4302808,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:03.774542+00:00
RS,Cacequi,4302907,https://cacequi.rs.gov.br/,https://cacequi.rs.gov.br/concursos-publicos,,https://cacequi.rs.gov.br/licitacao,,,boa,nao_encontrada,nao_encontrada,nao_encontrada,0.6,heuristic+gemini,1,Apenas URL de concursos públicos foi encontrada explicitamente.,2026-06-24T15:35:03.879745+00:00
RS,Cachoeira do Sul,4303004,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:06.114663+00:00
RS,Cachoeirinha,4303103,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:06.223306+00:00
RS,Cacique Doble,4303202,https://www.caciquedoble.rs.gov.br/,https://www.caciquedoble.rs.gov.br/pg.php?area=CONCURSOS,,,,,boa,nao_encontrada,nao_encontrada,nao_encontrada,0.8,heuristic+gemini,1,"A URL de concursos parece ser a seção dedicada. Não foram encontradas URLs explícitas para processos seletivos, editais, convocações ou diário oficial/publicações oficiais entre os candidatos fornecidos. As URLs de 'PUBLICACOES' são genéricas e não especificam o tipo de publicação.",2026-06-24T15:35:06.569748+00:00
RS,Caibaté,4303301,https://www.caibate.rs.gov.br/site,,,http://www.caibate.rs.gov.br/site/editais,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0.7,heuristic+gemini,1,"A URL de editais gerais foi identificada. Não foram encontradas URLs específicas para concursos, processos seletivos, convocações ou diário oficial/publicações oficiais. A página de editais parece ser um repositório geral.",2026-06-24T15:35:07.046403+00:00
RS,Caiçara,4303400,https://caicara.atende.net/cidadao,https://caicara.atende.net/cidadao/pagina/edital-de-concurso-publico-n-01-2018,https://caicara.atende.net/cidadao/pagina/edital-de-processo-seletivo-simplificado-n-01-2020,https://caicara.atende.net/cidadao/pagina/edital-n-01-2022,,,revisar,revisar,nao_encontrada,nao_encontrada,0.6,heuristic+gemini,1,"As URLs de concursos e processos seletivos apontam para editais individuais, não para uma lista ou seção geral. Não foi encontrada uma seção clara para convocações ou diário oficial.",2026-06-24T15:35:07.754740+00:00
RS,Camaquã,4303509,https://camaqua.atende.net/,https://camaqua.atende.net/cidadao/pagina/concursos-2024,https://camaqua.atende.net/cidadao/pagina/processos-seletivos-2024,https://camaqua.atende.net/cidadao/pagina/editais,,https://camaqua.atende.net/diariooficial,boa,boa,nao_encontrada,boa,0.9,heuristic+gemini,1,"Concursos e processos seletivos são por ano, mas há páginas para 2024. Editais e diário oficial são genéricos.",2026-06-24T15:35:08.919587+00:00
RS,Camargo,4303558,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:11.261123+00:00
RS,Cambará do Sul,4303608,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:11.371582+00:00
RS,Campestre da Serra,4303673,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:11.477319+00:00
RS,Campina das Missões,4303707,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:11.566521+00:00
RS,Campinas do Sul,4303806,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:11.682268+00:00
RS,Campo Bom,4303905,https://www.campobom.rs.gov.br/,,,https://www.campobom.rs.gov.br/editais-lei-aldir-blanc,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0.7,heuristic+gemini,1,"Os candidatos fornecidos incluem editais específicos (Lei Aldir Blanc e Fomento à Cultura), mas não há seções gerais para concursos, processos seletivos, convocações ou diário oficial. A URL de editais foi preenchida com uma das URLs de editais encontradas, mas é específica e não uma seção geral de editais.",2026-06-24T15:35:11.861146+00:00
RS,Campo Novo,4304002,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:13.438725+00:00
RS,Campos Borges,4304101,https://www.camposborges.rs.gov.br/,https://www.camposborges.rs.gov.br/concursos-publicos,https://www.camposborges.rs.gov.br/processo-seletivo-de-professor-cadastro-reserva,https://www.camposborges.rs.gov.br/edital-de-convocacao-n21-2026-audiencia-publica-para-apresentacao-do-relatorio-detalhado-do-quadrimestre-anterior-rdqa-digsus-relativo-ao-primeiro-quadrimestre-do-ano-de-2026-e-relatorio-de,https://www.camposborges.rs.gov.br/edital-de-convocacao-n21-2026-audiencia-publica-para-apresentacao-do-relatorio-detalhado-do-quadrimestre-anterior-rdqa-digsus-relativo-ao-primeiro-quadrimestre-do-ano-de-2026-e-relatorio-de,,boa,boa,boa,nao_encontrada,0.55,heuristic,0,,2026-06-24T15:35:13.994464+00:00
RS,Candelária,4304200,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:14.505741+00:00
RS,Cândido Godói,4304309,https://candidogodoi.rs.gov.br/site,,,https://candidogodoi.rs.gov.br/site/contratos/31414-inexigibilidade-de-licitacao-n-092026---contrataca,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,1,heuristic+gemini,1,Nenhuma URL relevante encontrada nos candidatos fornecidos para as categorias solicitadas.,2026-06-24T15:35:15.805649+00:00
RS,Candiota,4304358,https://www.candiota.rs.gov.br/,https://www.candiota.rs.gov.br/concursos-publicos,https://www.candiota.rs.gov.br/concurso/processo-seletivo-0012015-contratacao-de-professor-anor-iniciais,https://www.candiota.rs.gov.br/editais-e-licitacoes,,,boa,revisar,nao_encontrada,nao_encontrada,0.8,heuristic+gemini,1,"A URL de processos seletivos aponta para um processo seletivo específico, não para uma lista geral. Não foram encontradas URLs para convocações ou diário oficial.",2026-06-24T15:35:16.223845+00:00
RS,Canela,4304408,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:18.185812+00:00
RS,Canguçu,4304507,https://www.cangucu.rs.gov.br/,https://www.cangucu.rs.gov.br/portal/editais/3,https://www.cangucu.rs.gov.br/portal/editais/3,https://www.cangucu.rs.gov.br/portal/editais,,https://www.cangucu.rs.gov.br/portal/diario-oficial,boa,boa,nao_encontrada,boa,0.9,heuristic+gemini,1,A URL de editais de concursos públicos e outros processos de seleção foi usada para concursos e processos seletivos. Não foi encontrada uma URL específica para convocações/nomeações.,2026-06-24T15:35:19.358260+00:00
RS,Canoas,4304606,https://www.canoas.rs.gov.br/,https://www.canoas.rs.gov.br/divulgacao_cat/concursos-publicos,https://www.canoas.rs.gov.br/noticias/processos-seletivos-para-a-saude-de-canoas-contam-com-8-305-inscritos,https://www.canoas.rs.gov.br/editais-de-incentivo-a-cultura,,https://www.canoas.rs.gov.br/publicacoes-sme,boa,revisar,nao_encontrada,revisar,0.7,heuristic+gemini,1,"url_processos_seletivos aponta para uma notícia específica, não para uma seção geral. url_diario_publicacoes parece ser de uma secretaria específica (SME), não um diário oficial geral.",2026-06-24T15:35:20.705816+00:00
RS,Canudos do Vale,4304614,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:23.411638+00:00
RS,Capão Bonito do Sul,4304622,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:23.653931+00:00
RS,Capão da Canoa,4304630,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:23.899682+00:00
RS,Capão do Cipó,4304655,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:24.004912+00:00
RS,Capão do Leão,4304663,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:24.102934+00:00
RS,Capela de Santana,4304689,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:24.183603+00:00
RS,Capitão,4304697,https://www.capitao.rs.gov.br/,https://www.capitao.rs.gov.br/publicacoes,https://www.capitao.rs.gov.br/publicacoes,https://www.capitao.rs.gov.br/edital,https://www.capitao.rs.gov.br/publicacoes,https://www.capitao.rs.gov.br/publicacoes,revisar,revisar,revisar,boa,0.7,heuristic+gemini,1,"A página de 'Publicações' parece ser um repositório geral, necessitando de revisão para confirmar se contém seções específicas para concursos, processos seletivos e convocações. A página 'Edital' é mais direta para editais gerais.",2026-06-24T15:35:24.290920+00:00
RS,Capivari do Sul,4304671,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:35:25.528906+00:00
